Rank,Year,Movie,WorldwideBox Office,DomesticBox Office,InternationalBox Office,BechdelRating
278,2003,Terminator 3: Rise of the Machines,"$433,058,296","$150,358,296","$282,700,000",3
279,1990,Pretty Woman,"$432,566,361","$178,406,268","$254,160,093",3
282,2002,Die Another Day,"$431,942,139","$160,942,139","$271,000,000",2
283,2018,A Star is Born,"$431,870,523","$215,288,866","$216,581,657",3
286,2018,Rampage,"$427,947,217","$101,028,233","$326,918,984",3
288,2000,Cast Away,"$427,230,516","$233,632,142","$193,598,374",2
289,2020,Bad Boys For Life,"$424,536,881","$204,417,855","$220,119,026",2
290,1990,Dances with Wolves,"$424,208,805","$184,208,842","$239,999,963",1
296,2016,Jason Bourne,"$416,168,316","$162,192,920","$253,975,396",1
297,2008,Sex and the City,"$415,247,258","$152,647,258","$262,600,000",3
298,1988,Rain Man,"$412,800,000","$172,825,435","$239,974,565",1
299,1989,Batman,"$411,348,924","$251,188,924","$160,160,000",1
300,2013,Pacific Rim,"$411,002,906","$101,802,906","$309,200,000",1
303,2017,Kingsman: The Golden Circle,"$408,803,696","$100,234,838","$308,568,858",1
304,2002,Signs,"$408,250,578","$227,969,295","$180,281,283",1
305,2003,X-Men 2,"$406,348,630","$214,949,694","$191,398,936",3
308,2012,Prometheus,"$402,448,265","$126,477,084","$275,971,181",3
309,2008,Twilight,"$402,280,159","$192,769,854","$209,510,305",3
311,2016,Ice Age: Collision Course,"$402,156,682","$64,063,008","$338,093,674",3
312,2019,Alita: Battle Angel,"$401,900,040","$85,838,210","$316,061,830",3
313,2012,Snow White and the Huntsman,"$401,021,746","$155,136,755","$245,884,991",3
315,2006,Mission: Impossible III,"$399,387,745","$133,501,348","$265,886,397",1
317,2018,Solo: A Star Wars Story,"$393,151,347","$213,767,512","$179,383,835",2
318,2006,Superman Returns,"$391,081,192","$200,120,000","$190,961,192",1
319,1939,Gone with the Wind,"$390,525,192","$198,680,470","$191,844,722",3
320,1991,Robin Hood: Prince of Thieves,"$390,500,000","$165,493,908","$225,006,092",3
322,1978,Grease,"$387,483,897","$181,813,770","$205,670,127",3
323,2009,Star Trek,"$386,839,614","$257,730,019","$129,109,595",3
324,2002,Ice Age,"$386,116,343","$176,387,405","$209,728,938",0
325,2015,Home,"$385,997,896","$177,397,510","$208,600,386",3
325,2015,Home,"$385,997,896","$177,397,510","$208,600,386",3,3
325,2015,Home,"$385,997,896","$177,397,510","$208,600,386",3,3,1
325,2015,Home,"$385,997,896","$177,397,510","$208,600,386",3,3,1,3
326,1985,Back to the Future,"$385,510,205","$212,259,762","$173,250,443",2
327,2006,Happy Feet,"$385,000,317","$198,000,317","$187,000,000",3
328,2016,Independence Day: Resurgence,"$384,169,424","$103,144,286","$281,025,138",3
329,2008,Slumdog Millionaire,"$383,825,427","$141,330,703","$242,494,724",1
331,2017,Cars 3,"$383,541,369","$152,901,115","$230,640,254",3
332,2019,Godzilla: King of the Monsters,"$383,299,915","$110,500,138","$272,799,777",3
333,2007,Live Free or Die Hard,"$382,288,147","$134,529,403","$247,758,744",1
335,2017,Fifty Shades Darker,"$381,367,046","$114,434,010","$266,933,036",3
336,2012,Hotel Transylvania,"$378,659,142","$148,313,048","$230,346,094",3
337,2012,Taken 2,"$377,807,404","$139,854,287","$237,953,117",2
339,1998,Godzilla,"$376,000,000","$136,314,294","$239,685,706",3
340,2013,G.I. Joe: Retaliation,"$375,740,705","$122,523,060","$253,217,645",3
342,2002,My Big Fat Greek Wedding,"$374,890,034","$241,438,208","$133,451,826",3
343,2009,X-Men Origins: Wolverine,"$374,825,760","$179,883,157","$194,942,603",3
344,2000,What Women Want,"$374,105,123","$182,805,123","$191,300,000",1
347,2004,Shark Tale,"$371,741,123","$161,412,000","$210,329,123",1
348,2011,Captain America: The First Avenger,"$370,569,776","$176,654,505","$193,915,271",1
350,2015,Mad Max: Fury Road,"$367,457,874","$153,636,354","$213,821,520",3
351,1981,Raiders of the Lost Ark,"$367,452,079","$225,686,079","$141,766,000",3
353,2014,Gone Girl,"$367,160,781","$167,767,189","$199,393,592",3
354,2014,Edge of Tomorrow,"$367,028,980","$100,206,256","$266,822,724",1
356,2014,Penguins of Madagascar,"$366,942,531","$83,350,911","$283,591,620",0
357,2005,Hitch,"$366,784,257","$177,784,257","$189,000,000",2
357,2005,Hitch,"$366,784,257","$177,784,257","$189,000,000",2,1
358,2019,1917,"$366,614,721","$159,227,644","$207,387,077",0
359,1995,Die Hard: With a Vengeance,"$366,101,666","$100,012,499","$266,089,167",1
360,2001,Jurassic Park III,"$365,900,000","$181,166,115","$184,733,885",2
361,2009,Terminator Salvation,"$365,491,792","$125,322,469","$240,169,323",2
362,1994,True Lies,"$365,300,000","$146,282,411","$219,017,589",3
363,1995,Toy Story,"$365,270,951","$192,523,233","$172,747,718",1
364,1999,Notting Hill,"$363,718,196","$116,089,678","$247,628,518",3
365,2019,Shazam!,"$363,664,533","$140,371,656","$223,292,877",3
368,2004,Ocean's Twelve,"$362,989,076","$125,531,634","$237,457,442",2
370,2001,Planet of the Apes,"$362,211,740","$180,011,740","$182,200,000",3
372,2020,Tenet,"$361,875,852","$57,929,000","$303,946,852",1
375,2009,Fast & Furious,"$359,347,833","$155,064,265","$204,283,568",1
377,2005,Batman Begins,"$359,004,502","$205,343,774","$153,660,728",1
378,1992,Home Alone 2: Lost in New York,"$358,994,850","$173,585,516","$185,409,334",3
379,2002,Minority Report,"$358,824,714","$132,024,714","$226,800,000",1
381,2016,Kimi no na wa,"$357,065,738","$5,000,181","$352,065,557",3
382,1986,Top Gun,"$357,011,945","$180,012,912","$176,999,033",2
383,1995,Goldeneye,"$356,429,941","$106,429,941","$250,000,000",3
384,1999,American Beauty,"$356,258,047","$130,058,047","$226,200,000",3
385,2000,Dinosaur,"$356,148,063","$137,748,063","$218,400,000",3
386,2002,Catch Me if You Can,"$355,612,291","$164,606,800","$191,005,491",2
387,2011,X-Men: First Class,"$355,408,305","$146,408,305","$209,000,000",3
388,2014,Night at the Museum: Secret of the Tomb,"$353,756,621","$113,746,621","$240,010,000",1
392,2014,Noah,"$352,831,065","$101,200,044","$251,631,021",3
393,1992,Basic Instinct,"$352,700,000","$117,727,224","$234,972,776",1
395,2021,Black Widow,"$352,277,006","$175,777,006","$176,500,000",3
397,2017,Murder on the Orient Express,"$351,767,147","$102,826,543","$248,940,604",3
402,1998,Deep Impact,"$349,464,664","$140,464,664","$209,000,000",3
403,2011,Alvin and the Chipmunks: Chipwrecked,"$349,088,523","$133,107,389","$215,981,134",3
405,2018,Mary Poppins Returns,"$348,901,032","$171,958,438","$176,942,594",3
406,2004,"I, Robot","$348,629,585","$144,801,023","$203,828,562",1
409,2001,Rush Hour 2,"$347,425,832","$226,164,286","$121,261,546",3
410,1995,Pocahontas,"$347,100,000","$141,579,773","$205,520,227",3
412,2000,How the Grinch Stole Christmas,"$345,445,403","$260,348,825","$85,096,578",3
413,2017,xXx: Return of Xander Cage,"$345,033,359","$44,898,413","$300,134,946",3
414,2006,Over the Hedge,"$343,397,247","$155,019,340","$188,377,907",3
